feature,gain,weight,cover
Bwd Packet Length Std,2192.4246,197,6777.2759
Fwd Packet Length Mean,1986.543,149,3235.1533
Bwd Packet Length Min,1818.3887,65,9642.5078
Fwd Packet Length Max,733.7662,147,2764.1199
Packet Length Std,630.4551,210,2933.2166
Fwd Header Length,432.9621,401,1562.6158
Bwd Packet Length Mean,308.051,173,2573.1519
Min Packet Length,256.4883,71,3391.5681
Active Std,222.7298,15,11230.4717
Fwd IAT Min,199.1311,407,1598.6083
Average Packet Size,196.468,169,1054.8903
Fwd Packet Length Std,179.6465,149,1522.1848
Bwd Header Length,175.4845,132,2911.4485
URG Flag Count,162.4288,147,1218.543
Total Length of Bwd Packets,157.196,148,1592.4281
act_data_pkt_fwd,148.5911,112,1151.7501
Fwd Packet Length Min,123.8651,42,2856.5676
SYN Flag Count,121.5255,9,1855.9618
Bwd IAT Std,102.5008,56,2043.5856
Fwd IAT Total,100.1514,168,1210.9579
PSH Flag Count,98.4844,97,2099.9124
Total Backward Packets,96.5247,127,1422.8473
Down/Up Ratio,84.2354,28,2919.168
Active Max,74.3461,16,1739.6125
Fwd IAT Std,73.3844,112,1568.863
Active Min,73.3282,76,1768.8721
Bwd IAT Mean,72.7196,53,339.2765
Bwd Packet Length Max,71.7975,116,1608.3022
ACK Flag Count,71.6068,65,947.2623
Max Packet Length,66.6747,92,882.0011
Total Fwd Packets,66.5152,112,1216.9988
Bwd Packets/s,64.313,283,1289.0688
Flow Bytes/s,62.9045,290,579.6049
FIN Flag Count,62.3201,74,967.3147
Total Length of Fwd Packets,57.5103,202,987.5048
Fwd IAT Mean,56.6226,116,576.4422
Bwd IAT Total,54.7653,41,803.823
Flow IAT Std,53.8672,158,807.1489
Fwd IAT Max,52.1841,142,944.6376
Flow Duration,47.8721,283,836.0208
Flow IAT Min,47.8513,369,1201.3157
Active Mean,38.6592,32,463.6563
Bwd IAT Min,37.9612,101,2324.125
Packet Length Mean,32.2059,119,854.3868
Idle Mean,30.0364,18,215.7685
Flow IAT Max,29.6844,210,679.6274
Flow IAT Mean,26.936,220,568.8662
Idle Max,24.447,22,1198.3004
Fwd Packets/s,22.2342,192,707.4542
Idle Std,19.0582,13,604.8615
Fwd PSH Flags,15.598,35,1377.0927
Bwd IAT Max,11.2243,74,455.2267
Flow Packets/s,9.9175,220,428.2944
Idle Min,6.3368,40,1227.9712
ECE Flag Count,0.0,0,0.0
RST Flag Count,0.0,0,0.0
