w_p6,w_p5,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_mcc,validation_brier,validation_ece,validation_utility_score,tn,fp,fn,tp
0.0,1.0,0.76076,0.69782,0.75336,0.5,0.0,0.0,0.0,0.0,0.24116,0.24229,0.0,45542,0,14910,0
0.05,0.95,0.9993,0.99795,0.75336,0.5,0.0,0.0,0.0,0.0,0.21865,0.2298,0.0,45542,0,14910,0
0.1,0.9,0.9989,0.99695,0.75336,0.5,0.0,0.0,0.0,0.0,0.19731,0.21731,0.0,45542,0,14910,0
0.15,0.85,0.99863,0.99624,0.75336,0.5,0.0,0.0,0.0,0.0,0.17715,0.20482,0.0,45542,0,14910,0
0.2,0.8,0.99842,0.99574,0.75336,0.5,0.0,0.0,0.0,0.0,0.15816,0.19233,0.0,45542,0,14910,0
0.25,0.75,0.99828,0.9954,0.75336,0.5,0.0,0.0,0.0,0.0,0.14035,0.17983,0.0,45542,0,14910,0
0.3,0.7,0.99817,0.99516,0.75336,0.5,0.0,0.0,0.0,0.0,0.12371,0.16734,0.0,45542,0,14910,0
0.35,0.65,0.99809,0.99498,0.75336,0.5,0.0,0.0,0.0,0.0,0.10824,0.15485,0.0,45542,0,14910,0
0.4,0.6,0.99804,0.99485,0.75336,0.5,0.0,0.0,0.0,0.0,0.09395,0.14236,0.0,45542,0,14910,0
0.45,0.55,0.99799,0.99475,0.75336,0.5,0.0,0.0,0.0,0.0,0.08084,0.13068,0.0,45542,0,14910,0
0.5,0.5,0.99796,0.99468,0.9161,0.82991,1.0,0.65983,0.79505,0.77052,0.06889,0.11738,0.62986,45542,0,5072,9838
0.55,0.45,0.99793,0.99461,0.98399,0.96799,0.99857,0.93642,0.9665,0.95684,0.05813,0.10643,0.80096,45522,20,948,13962
0.6,0.4,0.99791,0.99456,0.98347,0.9679,0.99558,0.93716,0.96549,0.95539,0.04853,0.09448,0.81866,45480,62,937,13973
0.65,0.35,0.99789,0.99451,0.98341,0.96799,0.99488,0.93756,0.96537,0.9552,0.04011,0.08241,0.83671,45470,72,931,13979
0.7,0.3,0.99787,0.99447,0.98045,0.96618,0.98189,0.93803,0.95946,0.94701,0.03287,0.07169,0.84552,45284,258,924,13986
0.75,0.25,0.99785,0.99444,0.98071,0.96794,0.97829,0.94272,0.96017,0.94774,0.02679,0.06133,0.86097,45230,312,854,14056
0.8,0.2,0.99784,0.9944,0.98118,0.96994,0.97522,0.94775,0.96129,0.94903,0.0219,0.0494,0.87745,45183,359,779,14131
0.85,0.15,0.99782,0.99437,0.98132,0.97109,0.97276,0.95091,0.96171,0.94947,0.01817,0.03938,0.89047,45145,397,732,14178
0.9,0.1,0.99781,0.99434,0.98156,0.9722,0.97098,0.95372,0.96227,0.95014,0.01563,0.02832,0.90366,45117,425,690,14220
0.95,0.05,0.99779,0.99431,0.98161,0.9729,0.96926,0.95573,0.96245,0.95031,0.01425,0.01829,0.9144,45090,452,660,14250
1.0,0.0,0.99776,0.99421,0.98174,0.97414,0.96655,0.95915,0.96284,0.95074,0.01405,0.00781,0.92468,45047,495,609,14301
