source_feature,target_p6_feature,mapping_type,status,reason
dur,Flow Duration,unit_scale (dur * 1e6),DERIVED_COMPATIBLE,"UNSW 'dur' is in seconds; scaled by 1,000,000 to match CIC microsecond flow duration."
spkts,Total Fwd Packets,identity,DIRECT_MATCH,Direct semantic match: source-to-destination packet count.
dpkts,Total Backward Packets,identity,DIRECT_MATCH,Direct semantic match: destination-to-source packet count.
sbytes,Total Length of Fwd Packets,identity,DIRECT_MATCH,Direct semantic match: source-to-destination payload bytes.
dbytes,Total Length of Bwd Packets,identity,DIRECT_MATCH,Direct semantic match: destination-to-source payload bytes.
NONE,Fwd Packet Length Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd Packet Length Max'.
NONE,Fwd Packet Length Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd Packet Length Min'.
smean,Fwd Packet Length Mean,identity,DIRECT_MATCH,Direct semantic match: mean forward packet size.
NONE,Fwd Packet Length Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd Packet Length Std'.
NONE,Bwd Packet Length Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd Packet Length Max'.
NONE,Bwd Packet Length Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd Packet Length Min'.
dmean,Bwd Packet Length Mean,identity,DIRECT_MATCH,Direct semantic match: mean backward packet size.
NONE,Bwd Packet Length Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd Packet Length Std'.
"sbytes, dbytes, dur",Flow Bytes/s,derived ((sbytes + dbytes) / dur),DERIVED_COMPATIBLE,Computed aggregate byte throughput: total bytes divided by duration.
rate,Flow Packets/s,identity,DIRECT_MATCH,Direct match: UNSW 'rate' represents (spkts + dpkts) / dur.
NONE,Flow IAT Mean,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Flow IAT Mean'.
NONE,Flow IAT Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Flow IAT Std'.
NONE,Flow IAT Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Flow IAT Max'.
NONE,Flow IAT Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Flow IAT Min'.
NONE,Fwd IAT Total,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd IAT Total'.
sinpkt,Fwd IAT Mean,unit_scale (sinpkt * 1000),DERIVED_COMPATIBLE,UNSW 'sinpkt' is in ms; scaled to microseconds to match CIC-IDS2017.
NONE,Fwd IAT Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd IAT Std'.
NONE,Fwd IAT Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd IAT Max'.
NONE,Fwd IAT Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd IAT Min'.
NONE,Bwd IAT Total,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd IAT Total'.
dinpkt,Bwd IAT Mean,unit_scale (dinpkt * 1000),DERIVED_COMPATIBLE,UNSW 'dinpkt' is in ms; scaled to microseconds to match CIC-IDS2017.
NONE,Bwd IAT Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd IAT Std'.
NONE,Bwd IAT Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd IAT Max'.
NONE,Bwd IAT Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd IAT Min'.
NONE,Fwd PSH Flags,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd PSH Flags'.
NONE,Fwd Header Length,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Fwd Header Length'.
NONE,Bwd Header Length,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Bwd Header Length'.
"spkts, dur",Fwd Packets/s,derived (spkts / dur),DERIVED_COMPATIBLE,Forward transmission rate computed as forward packets divided by duration.
"dpkts, dur",Bwd Packets/s,derived (dpkts / dur),DERIVED_COMPATIBLE,Backward transmission rate computed as backward packets divided by duration.
NONE,Min Packet Length,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Min Packet Length'.
NONE,Max Packet Length,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Max Packet Length'.
"sbytes, dbytes, spkts, dpkts",Packet Length Mean,derived ((sbytes + dbytes) / (spkts + dpkts)),DERIVED_COMPATIBLE,Identical calculation to average packet size across bidirectional flow.
