organization_id,organization_size,industry,number_of_employees,number_of_endpoints,number_of_servers,cloud_usage_percentage,remote_worker_percentage,critical_asset_count,mfa_coverage,privileged_account_mfa,privileged_access_management,password_policy_score,access_review_frequency_days,least_privilege_enforced,sso_adoption_percentage,asset_inventory_coverage,asset_discovery_frequency_days,data_classification_implemented,critical_asset_identification,endpoint_protection_coverage,firewall_deployment,network_segmentation,encryption_at_rest,encryption_in_transit,security_awareness_training,secure_configuration_baselines,vulnerability_scanning_frequency_days,patch_frequency_days,average_patch_delay,critical_vulnerability_remediation_time,penetration_testing_frequency_months,siem_deployed,soc_coverage_hours,security_monitoring,edr_coverage,automated_alerting,log_retention_days,incident_response_plan,incident_response_testing,dedicated_ir_team,mean_time_to_detect,mean_time_to_respond,backup_frequency_hours,offline_backup,backup_testing_frequency_months,disaster_recovery_plan,recovery_time_objective_hours,recovery_point_objective_hours,vendor_risk_management,third_party_access_controls,supply_chain_monitoring,previous_incidents_count,previous_data_breach,ransomware_history,data_source,risk_score,risk_level,baseline_score
ORG-00001,small,government,51,66,3,52.7,27.6,1,9.0,False,False,2,165,False,14.4,20.0,45,False,False,43.0,True,False,13.8,31.9,False,False,77,55,56,26,12,False,8,True,14.5,False,69,True,False,False,170.0,77.0,24,True,6,False,61.0,21.0,False,False,False,7,True,False,SYNTHETIC,80.0,Critical,77.7
ORG-00002,small,technology,17,23,1,48.2,22.3,4,39.3,False,False,2,181,False,27.1,27.5,47,False,False,32.3,True,False,46.1,37.2,False,False,71,50,65,36,0,True,0,True,17.7,False,137,False,False,False,177.0,112.0,6,False,3,True,57.0,24.0,False,True,False,1,True,False,SYNTHETIC,83.9,Critical,75.5
ORG-00003,small,healthcare,18,26,1,74.1,28.4,9,10.2,False,False,3,122,False,21.3,20.0,56,False,False,28.4,True,False,17.9,42.0,False,False,68,57,68,23,12,False,0,False,24.2,False,148,False,False,False,173.0,102.0,12,True,6,True,41.0,19.0,False,False,False,2,False,False,SYNTHETIC,82.7,Critical,76.2
ORG-00004,small,government,7,7,1,50.0,1.7,5,30.8,False,False,2,132,False,18.1,40.8,45,False,False,67.7,True,True,31.8,34.0,True,False,76,46,64,23,6,False,0,False,41.4,False,160,False,False,False,112.0,68.0,168,False,3,False,51.0,18.0,False,False,False,5,False,False,SYNTHETIC,73.4,High,72.6
ORG-00005,small,retail,12,12,1,89.0,33.7,3,70.9,False,False,4,88,True,84.2,55.1,27,True,True,64.4,True,True,57.2,63.0,True,True,37,33,27,13,0,False,8,True,88.1,False,277,True,False,True,49.0,46.0,6,True,1,True,32.0,12.0,True,True,False,0,False,False,SYNTHETIC,31.6,Moderate,31.6
ORG-00006,medium,government,1129,1465,80,51.0,36.2,20,85.8,False,False,2,110,False,52.6,60.0,27,True,True,58.3,True,False,66.9,75.2,False,False,46,25,28,20,24,True,8,True,64.5,True,230,False,False,False,107.0,73.0,6,False,0,True,27.0,8.0,False,True,True,1,True,False,SYNTHETIC,57.1,High,55.7
ORG-00007,medium,manufacturing,2367,4216,413,63.1,36.8,88,53.7,True,True,4,76,False,47.7,60.0,33,True,False,70.7,True,True,37.2,72.9,True,True,39,22,55,19,12,False,16,True,42.2,False,266,True,True,True,36.0,69.0,72,False,6,True,31.0,12.0,False,True,True,0,False,False,SYNTHETIC,45.0,Moderate,46.3
ORG-00008,small,healthcare,27,29,1,85.7,0.0,3,0.0,False,False,2,225,False,0.0,20.0,56,False,False,17.3,True,False,8.7,18.2,False,False,92,75,80,34,0,False,8,True,0.0,False,70,False,False,False,172.0,121.0,24,False,6,False,64.0,32.0,False,False,False,0,False,False,SYNTHETIC,100.0,Critical,90.6
ORG-00009,medium,education,362,592,52,57.3,52.3,12,17.7,False,False,2,195,True,15.4,20.0,50,False,False,17.4,True,False,0.0,42.7,False,False,76,70,69,37,24,False,8,True,8.2,False,116,False,False,True,208.0,140.0,24,False,3,False,58.0,20.0,False,False,False,1,True,False,SYNTHETIC,97.9,Critical,83.4
ORG-00010,medium,healthcare,385,634,33,72.0,15.2,11,16.9,False,False,3,130,True,11.2,23.7,41,True,True,44.7,True,False,46.2,37.0,False,False,64,42,72,22,6,False,8,True,26.3,False,120,True,True,True,143.0,73.0,6,True,12,True,45.0,6.0,False,True,False,4,False,False,SYNTHETIC,65.9,High,60.6
